Code,Name,Costing Method,Sales account,Don't delete
000000000017,OISHI CRACKLING SALT,FIFO,Sales Select,5200200
0000000066389,SIOMAI 4PCS 1PACK,FIFO,Sales Select,5200200
0000000174053,FITA CRACKERS SLUGS 80G,FIFO,Sales Select,5200200
0000000479615,SUPERGARLIC MIX 450G,FIFO,Sales Select,5200200
0000000750691,CREAM O VANILLA 30 G,FIFO,Sales Select,5200200
0000000804820,SELECTA MOO MILK CHOCOLAIT 245ML X24,FIFO,Sales Select,5200200
0000001004038,NISSIN EGGNOG COOKIE,FIFO,Sales Select,5200200
0000001012088,ADVANCE AX7 1PC,FIFO,Sales Shoc+,5200300
0000001023442,CENTURY CORNED TUNA CHILI 175G,FIFO,Sales Select,5200200
0000001067712,OISHI POTATO FRIES C,FIFO,Sales Select,5200200
0000001107500,COKE REG. 330ML,FIFO,Sales Select,5200200
0000001502152,COUNTRY BITES CORN POPS SWEET CORN 520G,FIFO,Sales Select,5200200
0000001589610,SMARTC DALANDAN 500M,FIFO,Sales Select,5200200
0000002006680,555 SARDINES FRIED HOT 155G,FIFO,Sales Select,5200200
0000002150444,SAN MIGUEL RED HORSE IN CAN 330ML,FIFO,Sales Select,5200200
0000002721101,LUCKY ME BATCHOY 70 G,FIFO,Sales Select,5200200
0000002738659,LUCKY ME PANCIT CANTON CHILLIMANSI 70G,FIFO,Sales Select,5200200
0000002934266,WHISPER REG.FLOW COT,FIFO,Sales Select,5200200
0000003320433,JBC HAPPY PEANUT SWE,FIFO,Sales Select,5200200
0000003320501,HI-HO SWEET CHILLI 70G,FIFO,Sales Select,5200200
0000003326305,DING DONG SWEET & SPICY 100GX48,FIFO,Sales Select,5200200
0000003466605,ICE BREAKERS DUO RAS,FIFO,Sales Select,5200200
0000003810866,BEAR BRAND 150G,FIFO,Sales Select,5200200
0000004825272,TROLLI GUMMY BEAR 45G,FIFO,Sales Select,5200200
0000006106744,TRUST NATURAL CONDOM 3'S 1Pack,FIFO,Sales Select,5200200
0000006812867,BOY BAWANG CHILI CHIZ 30G,FIFO,Sales Select,5200200
0000007110566,MENTOS MINI MINT ROL,FIFO,Sales Select,5200200
0000007110634,MENTOS CANDY AIR ACT,FIFO,Sales Select,5200200
0000007200533,MY SHALDAN ORANGE 1P,FIFO,Sales Select,5200200
0000009095489,SMART-C DALANDAN 500ML,FIFO,Sales Select,5200200
0000012410002,STARBUCKS VANILLA 281ML,FIFO,Sales Select,5200200
0000022169068,DOUBLEMINT PELLETS 1,FIFO,Sales Select,5200200
0000034211052,ICE BREAKERS DOU WATERMELON 42G,FIFO,Sales Select,5200200
0000048031547,EFFICASCENT OIL COUNTERIRRITANT 25ML,FIFO,Sales Select,5200200
0000211413538,SELE PINIPIGCHOC65ML,FIFO,Sales Select,5200200
0000480315472,EFFICASCENT OIL 25ML,FIFO,Sales Select,5200200
0000480351562,EFFICASCENT OIL EXTRA STRENGHT 25ML,FIFO,Sales Select,5200200
0000506041590,FISHERMAN'S FRIEND LEMON 1PC,FIFO,Sales Select,5200200
0000690248492,SNICKERS CLASSIC 35G,FIFO,Sales Select,5200200
0000808024260,MENTOS SPEARMINT 10-,FIFO,Sales Select,5200200
0000936980858,TICTAC SPEARMINT FLAVOUR 16G,FIFO,Sales Select,5200200
00014800004625,MOTTS APPLE JUICE,FIFO,Sales Select,5200200
0003,Double Deck Cup,FIFO,Sales Chatime,5200500
0005500249201,SPIRAX S2 G 90_1*20L_A227,FIFO,Sales Shoc+,5200300
0005500249300,SPIRAX S2 A 140_1*20L_A227,FIFO,Sales Shoc+,5200300
0005500252942,HELIX HX3 G 20W-50SG_1L_A240,FIFO,Sales Shoc+,5200300
0005500252959,HELIX HX3 G 20W-50SG_4L_A240,FIFO,Sales Shoc+,5200300
0005500436908,FLUSHING OIL 32_0.5L_A240,FIFO,Sales Shoc+,5200300
0005500443487,RIM R3+ 40 CF228.0_1*20L_A227,FIFO,Sales Shoc+,5200300
0005500444880,RIMR4X15W40CI4E7DH1_1L_A685,FIFO,Sales Shoc+,5200300
0005500444897,RIMULA R4X15W40CI4E7DH1_6L_A685,FIFO,Sales Shoc+,5200300
0005500445412,RIMULA R1 30 CC/SC_1*20L_A227,FIFO,Sales Shoc+,5200300
0005500445634,RIMULA R3 10W CF_6L_A685,FIFO,Sales Shoc+,5200300
0005500445641,RIMULA R3+ 40 CF228.0_6L_A685,FIFO,Sales Shoc+,5200300
0005500445658,RIM R3+ 40 CF228.0_1L_A685,FIFO,Sales Shoc+,5200300
0005500445689,RIMULA R1 30 CC/SC_1L_A685,FIFO,Sales Shoc+,5200300
0005500445696,RIMULA R1 30 CC/SC_4L_A685,FIFO,Sales Shoc+,5200300
0005500456128,ADV4TAX5SC15W40MB_0.8L_A685,FIFO,Sales Shoc+,5200300
0005500456135,ADVAN4TAX710W40SMMA2_0.8L_A685,FIFO,Sales Shoc+,5200300
0005500456142,ADV4TAX7SC10W40SMMB_0.8L_A685,FIFO,Sales Shoc+,5200300
0005500456159,ADVANCE SX2 2TTRIPLE_1L_A685,FIFO,Sales Shoc+,5200300
0005500456166,ADV4TULTSC5W40SNMB_1L_A709,FIFO,Sales Shoc+,5200300
0005500456173,ADVANC4TAX515W40SLMA_1L_A685,FIFO,Sales Shoc+,5200300
0005500456425,HELIX HX3 40 SLCF_4L_A685,FIFO,Sales Shoc+,5200300
0005500456449,HELIX HX3 40 SLCF_1L_A685,FIFO,Sales Shoc+,5200300
0005500456487,HELIXHX5D15W40B3_1L_A685,FIFO,Sales Shoc+,5200300
0005500456593,HELIXHX3 30SLCF_1L_A685,FIFO,Sales Shoc+,5200300
0005500456722,HELIXULTRAD5W40CF_1L_A685,FIFO,Sales Shoc+,5200300
0005500456838,SPIRAX S2 A 140_1L_A685,FIFO,Sales Shoc+,5200300
0005500456845,SPIRAX S2 G 90_1L_A685,FIFO,Sales Shoc+,5200300
0005500456876,SPIRAX S3 ATF MD3_1L_A709,FIFO,Sales Shoc+,5200300
0005500456906,SPIRAX S2 A 140_4L_A685,FIFO,Sales Shoc+,5200300
0005500456937,SPIRAX S2 G 90_4L_A685,FIFO,Sales Shoc+,5200300
0005500457033,HELIXHX8SYND5W30_1L_A685,FIFO,Sales Shoc+,5200300
0005500465014,HELIXHM15W50SNCFA3B4_1L_A709,FIFO,Sales Shoc+,5200300
0005500474207,RIM R4L 15W40 CK4_1*20L_A227,FIFO,Sales Shoc+,5200300
0005500488303,SPIRAX S1 ATF TASA_1L_A752,FIFO,Sales Shoc+,5200300
0005500499590,HELIXHM10W40SNCFA3B3_1L_A685,FIFO,Sales Shoc+,5200300
0005500501132,HELIXULTRAD5W40CF_6L_A753,FIFO,Sales Shoc+,5200300
0005500501156,HELIXHX5D15W40B3_6L_A753,FIFO,Sales Shoc+,5200300
0005500501163,HELIXHX8SYND5W30_6L_A753,FIFO,Sales Shoc+,5200300
0005500502641,HELIXHM10W40SNCFA3B3_4L_A75,FIFO,Sales Shoc+,5200300
0005500509589,RIMR4X15W40CI4E7DH1_6L_A236,FIFO,Sales Shoc+,5200300
0005500511872,HELIXULTX5W30_SNPLUS_4L_A753,FIFO,Sales Shoc+,5200300
0005500514545,HELIXHX7_5W40SN+A3B4_1L_A685,FIFO,Sales Shoc+,5200300
0005500514576,HELIXHX8_5W40SN+_1L_A685,FIFO,Sales Shoc+,5200300
0005500514590,HELIXHX515W40SN+A3B3_1L_A685,FIFO,Sales Shoc+,5200300
0005500514620,HLXULTRA0W40SN+A3B4_1L_A685,FIFO,Sales Shoc+,5200300
