MIN,BRANCH,BUSINESS GROUP,CLOSE DATE,TRANSACTION DATE,BEGINNING INVOICE,ENDING INVOICE,BEGINNING BALANCE,ENDING BALANCE,SALES FOR THE DAY,VATABLE SALES,MONTH,YEAR
2.40219E+16,BALOY,SELECT,02/01/2025,1/31/2025,000-091208,000-091469,"25,173,551.19","25,250,169.19","76,618.00","68,408.93",1,2025
2.40219E+16,BALOY,FUEL,02/01/2025,1/31/2025,000-221684,000-222372,"313,146,201.22","314,031,189.65","884,988.43","790,168.24",1,2025
2.40219E+16,BALOY,FUEL,02/01/2025,1/31/2025,000-005566,000-005582,,,0,0,1,2025
2.40309E+16,BALOY,SHOC+,02/01/2025,1/31/2025,000-001936,000-001941,"5,926,889.40","5,946,173.60","19,284.20","17,218.04",1,2025
2.40219E+16,BALOY,SELECT,1/31/2025,1/30/2025,000-090969,000-091207,"25,108,144.19","25,173,551.19","65,407.00","58,399.11",1,2025
2.40219E+16,BALOY,FUEL,1/31/2025,1/30/2025,000-221032,000-221683,"312,153,680.77","313,146,201.22","992,520.45","886,178.97",1,2025
2.40219E+16,BALOY,FUEL,1/31/2025,1/30/2025,000-005557,000-005565,,,0,0,1,2025
2.40219E+16,BALOY,FUEL,01/01/2025,12/31/2024,000-201712,000-202533,"285,998,262.58","286,604,902.81","606,640.23","541,643.06",12,2024
2.40219E+16,BALOY,FUEL,01/01/2025,12/31/2024,000-005153,000-005156,,,0,0,12,2024
2.40219E+16,BALOY,SELECT,01/01/2025,12/31/2024,000-083817,000-083985,"23,057,890.19","23,114,006.19","56,116.00","50,103.57",12,2024
2.40219E+16,BALOY,FUEL,04/01/2025,3/31/2025,000-259433,000-260108,"364,371,774.12","365,359,005.82","987,231.70","881,456.87",3,2025
2.40219E+16,BALOY,FUEL,04/01/2025,3/31/2025,000-006273,000-006277,,,0,0,3,2025
2.40219E+16,BALOY,SELECT,04/01/2025,3/31/2025,000-105206,000-105468,"29,061,536.08","29,132,031.08","70,495.00","62,941.96",3,2025
2.40309E+16,BALOY,SHOC+,04/01/2025,3/31/2025,000-002477,000-002488,"7,112,341.60","7,137,370.60","25,029.00","22,347.32",3,2025
